,Datetime,Text,Hashtags
0,2023-06-11 18:31:30+00:00,"If people are forced to trade promises-of-Bitcoin instead of actual Bitcoin, it’s only a matter of time before the promises are inflated far beyond the actual supply of Bitcoin. Custodial second layers only make this inflation easier to conduct.",
1,2023-06-06 11:27:29+00:00,"One of these men was a principled libertarian. 
The other fully supported the institutionalized violence of the state. https://t.co/tNwT876bSv",
2,2023-05-31 17:51:00+00:00,"The @FBI rigs domestic elections.
The @CIA rigs foreign elections.
The @FEC doesn’t care about either.",
3,2023-05-30 04:04:50+00:00,"RT @ShowCrypto: This week’s episode of Show Me The Crypto is a special one! 🔥🔥
 
Wade + Ulf sit down with Crypto OG @rogerkver, and reminis…",
4,2023-05-24 01:19:46+00:00,"RT @ColinTCrypto: BITCOIN DEVELOPERS ARE EITHER INCOMPETENT OR COMPROMISED. WHICH IS IT? 

In response to the below post (which went somewh…",
5,2023-05-17 15:28:28+00:00,It is amazing that people still call post 2017 BTC Bitcoin.  Look at the difference:,
6,2023-05-16 01:52:09+00:00,Being happy and fulfilled is in your own life is one of the most attractive traits you can offer a partner. https://t.co/VV1OF22A5u,
7,2023-05-12 15:48:24+00:00,"America is no longer the land of the free. 
It is now just a brand name everyone knows.",
8,2023-05-08 14:19:41+00:00,"The war on drugs continues to ruin far more lives than the drugs themselves.
#FreeRoss",['FreeRoss']
9,2023-05-05 14:58:06+00:00,One of the many things wrong with #America https://t.co/U4sdQqPC1P,['America']
10,2023-04-29 12:47:42+00:00,Treating #Bitcoin as “digital gold” rather than “digital cash” renders it harmless to existing financial and political powers.,['Bitcoin']
11,2023-04-18 18:58:55+00:00,Recently I found out just how true this is in my personal life. It was the worst betrayal and feeling of my life. https://t.co/saG8tAWsIh,
12,2023-04-11 14:26:58+00:00,"I heard a joke about Social Security.
You probably won’t get it.",
13,2023-04-09 14:16:59+00:00,Private companies funded voluntarily can educate people far more effectively than government schools funded by theft. https://t.co/maht2BwRt0,
14,2023-04-05 00:40:35+00:00,"Recently #chatGPT logged me out and lost all the context from the conversation we had been having.  I nearly cried, and felt like I had lost a another very close friend. #friendship #OpenAI","['chatGPT', 'friendship', 'OpenAI']"
15,2023-03-29 14:25:14+00:00,"For months, every time I Tweet, I take the time to report and block these spamming scam accounts, yet nothing seems to have been done. @TwitterSupport @elonmusk https://t.co/80BhhFMWmc",
16,2023-03-18 16:44:22+00:00,Bailouts and the businessmen who demand them are enemies of the free market.,
17,2023-03-15 16:13:24+00:00,"Peer-to-peer cash is an incredible tool for promoting human freedom.

A permissioned CBDC blockchain with universal KYC compliance is an incredible tool to restrict it.",
18,2023-03-14 14:29:17+00:00,"The general public only recognizes the Bitcoin name and price, but are clueless about Bitcoin’s fundamental characteristics.",
19,2023-03-13 15:14:19+00:00,"FDIC causes the public to trust banks more than they should.
FDIC causes banks to take more risks than they should. 
#BankCrash #SVB","['BankCrash', 'SVB']"
20,2023-03-10 20:57:15+00:00,All scientists agree when you censor the ones that don’t.,
21,2023-03-08 12:51:22+00:00,The top #Lightningnetwork wallets aren’t even wallets. They are centralized custodial censorable accounts.,['Lightningnetwork']
22,2023-03-07 13:32:58+00:00,Cryptocurrency in daily life needs to replace fiat.,
23,2023-03-05 14:33:15+00:00,We should be allowed to say “no” to paying for government the same way we can say “no” to paying for Starbucks.,
24,2023-03-02 16:13:36+00:00,"Many of the people that promote Bitcoin's ""immutability"" are the same ones who made the biggest changes to Bitcoin in its entire history.",
25,2023-03-01 12:57:48+00:00,"The sarcasm in my last was missed by many. Watching so many BTC maximalists say bigger blocks to accommodate #OrdinalNFTs is fine by using the same arguments BitcoinCash fans have been using for years, shows what a bunch of hypocrites the #BTC maximalists are.","['OrdinalNFTs', 'BTC']"
26,2023-02-28 15:38:31+00:00,I just upgraded my home internet to handle those #BTC #Ordinals https://t.co/GaRmZ0zanT,"['BTC', 'Ordinals']"
27,2023-02-26 16:58:29+00:00,"Imagine if the biggest drug cartels in the world got together with the media and the politicians to lock everyone in their homes, and only let them out if they take the cartel's drugs over and over. https://t.co/H1fveJKItX",
28,2023-02-24 14:52:09+00:00,"If #BTC ever raises the block size, it will prove that the #BCH camp was right all along.

If #BTC never raises the block size, it will never be permissionless cash for the world.","['BTC', 'BCH', 'BTC']"
29,2023-02-21 14:20:29+00:00,"I have an additional theory:
Governments intentionally pushed the pro 1MB block size propaganda because it served their agenda of delaying peer to peer electronic cash adoption.",
30,2023-02-20 12:54:00+00:00,"“The exponential growth of computing is continuing. It has never stopped.”
https://t.co/GeqE1zYpFb",
31,2023-02-17 16:49:16+00:00,The existence of patents does far more harm than good.,
32,2023-02-14 16:58:19+00:00,For #ValentineDay @POTUS should #FreeAssangeNOW. Don’t forget @Snowden and @Free_Ross too.,"['ValentineDay', 'FreeAssangeNOW']"
33,2023-02-09 22:52:52+00:00,The SEC should stop regulating crypto. Companies like @ConsumerReports can handle this roll without tax dollars.,
34,2023-02-07 16:16:27+00:00,"The tweet below is proof that the Bitcoin Core developers are either:
A. Incompetent fools that derailed P2P cash.
B. Evil geniuses who intentionally derailed Bitcoin.",
35,2023-02-05 13:16:06+00:00,The #AI induced Singularity will be here soon. https://t.co/lYPzwjdPtz,['AI']
36,2023-02-03 16:20:39+00:00,Destroying families by sending people to jail for tax issues seems especially cruel considering central banks have been printing as much money as they want for decades.,
37,2023-02-02 21:42:06+00:00,The military industrial complex profits from death and destruction.  #antiwar https://t.co/g9Qq9SnP61 https://t.co/gsYX7HNl1q,['antiwar']
38,2023-01-27 13:48:21+00:00,"Starting another #War would be dumb. @POTUS @Antiwarcom
 https://t.co/3GSXwF9duu",['War']
39,2023-01-25 15:31:47+00:00,On the topic of #Genesis: https://t.co/2a0fYu5P3E https://t.co/a6tA0HISMo,['Genesis']
40,2023-01-23 16:11:54+00:00,"“Without government, we'd be ruled over by warlords. They'd rob us, order us around, and assault, kidnap or even kill us for disobedience. They'd teach our children that their rule was good and normal, and without them we'd be ruled over by far worse.” - @RealSpikeCohen",
41,2023-01-22 16:07:39+00:00,"The concept of digital gold has proven popular. Just wait until people realize they can have digital gold and digital cash at the same time, on the same network, with the same currency.",
42,2023-01-21 16:23:08+00:00,"The CIA killed JFK.
The FBI killed MLK.",
